tile_mask,tile_pre,tile_post,center_lon,center_lat,targets,background,building,intact,damaged,destroyed,background_ratio,building_ratio,intact_ratio,damaged_ratio,destroyed_ratio,intact_building_ratio,damaged_building_ratio,destroyed_building_ratio,place,disaster
la_palma-volcano_00000077_building_damage.tif,la_palma-volcano_00000077_pre_disaster.tif,la_palma-volcano_00000077_post_disaster.tif,211955.1324842536,3172715.3131363364,[0 1],1026055,22521,22521,0,0,0.9785223007202148,0.021477699279785156,0.021477699279785156,0.0,0.0,1.0,0.0,0.0,la_palma,volcano
congo-volcano_00000053_building_damage.tif,congo-volcano_00000053_pre_disaster.tif,congo-volcano_00000053_post_disaster.tif,29.233664541893816,-1.6296259164828975,[0 1],1031324,17252,17252,0,0,0.9835472106933594,0.016452789306640625,0.016452789306640625,0.0,0.0,1.0,0.0,0.0,congo,volcano
turkey-earthquake_00000537_building_damage.tif,turkey-earthquake_00000537_pre_disaster.tif,turkey-earthquake_00000537_post_disaster.tif,437131.14989789296,4245665.588400142,[0 1],719701,328875,328875,0,0,0.6863603591918945,0.31363964080810547,0.31363964080810547,0.0,0.0,1.0,0.0,0.0,turkey,earthquake
morocco-earthquake_00000165_building_damage.tif,morocco-earthquake_00000165_pre_disaster.tif,morocco-earthquake_00000165_post_disaster.tif,596127.7319024202,3461250.9154877644,[0],1048576,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,morocco,earthquake
turkey-earthquake_00000273_building_damage.tif,turkey-earthquake_00000273_pre_disaster.tif,turkey-earthquake_00000273_post_disaster.tif,435568.54517824616,4179601.8751960825,[0 1 2 3],611461,437115,388743,7898,40474,0.583134651184082,0.41686534881591797,0.37073421478271484,0.0075321197509765625,0.03859901428222656,0.8893380460519543,0.018068471683653043,0.09259348226439267,turkey,earthquake
bata-explosion_00000016_building_damage.tif,bata-explosion_00000016_pre_disaster.tif,bata-explosion_00000016_post_disaster.tif,9.807906726120848,1.8348057454763196,[0 1],902043,146533,146533,0,0,0.860255241394043,0.13974475860595703,0.13974475860595703,0.0,0.0,1.0,0.0,0.0,bata,explosion
la_palma-volcano_00000419_building_damage.tif,la_palma-volcano_00000419_pre_disaster.tif,la_palma-volcano_00000419_post_disaster.tif,214105.51004016367,3169950.4851871477,[0 3],670467,378109,0,0,378109,0.6394071578979492,0.3605928421020508,0.0,0.0,0.3605928421020508,0.0,0.0,1.0,la_palma,volcano
morocco-earthquake_00000131_building_damage.tif,morocco-earthquake_00000131_pre_disaster.tif,morocco-earthquake_00000131_post_disaster.tif,599252.7319068203,3461875.915489722,[0],1048576,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,morocco,earthquake
la_palma-volcano_00000837_building_damage.tif,la_palma-volcano_00000837_pre_disaster.tif,la_palma-volcano_00000837_post_disaster.tif,216255.88759607376,3164113.626183305,[0 1],936170,112406,112406,0,0,0.8928012847900391,0.10719871520996094,0.10719871520996094,0.0,0.0,1.0,0.0,0.0,la_palma,volcano
morocco-earthquake_00000335_building_damage.tif,morocco-earthquake_00000335_pre_disaster.tif,morocco-earthquake_00000335_post_disaster.tif,599182.2363234063,3470618.896501599,[0 1],1046894,1682,1682,0,0,0.9983959197998047,0.0016040802001953125,0.0016040802001953125,0.0,0.0,1.0,0.0,0.0,morocco,earthquake
turkey-earthquake_00000144_building_damage.tif,turkey-earthquake_00000144_pre_disaster.tif,turkey-earthquake_00000144_post_disaster.tif,353708.4,4104768.1500000004,[0 1],863680,184896,184896,0,0,0.82366943359375,0.17633056640625,0.17633056640625,0.0,0.0,1.0,0.0,0.0,turkey,earthquake
la_palma-volcano_00000369_building_damage.tif,la_palma-volcano_00000369_pre_disaster.tif,la_palma-volcano_00000369_post_disaster.tif,219942.24912049106,3170564.8913980788,[0],1048576,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,la_palma,volcano
turkey-earthquake_00000549_building_damage.tif,turkey-earthquake_00000549_pre_disaster.tif,turkey-earthquake_00000549_post_disaster.tif,440881.1498877794,4245665.588400142,[0 1],1032169,16407,16407,0,0,0.9843530654907227,0.015646934509277344,0.015646934509277344,0.0,0.0,1.0,0.0,0.0,turkey,earthquake
la_palma-volcano_00000632_building_damage.tif,la_palma-volcano_00000632_pre_disaster.tif,la_palma-volcano_00000632_post_disaster.tif,219635.05232678962,3167800.06344889,[0],1048576,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,la_palma,volcano
la_palma-volcano_00000600_building_damage.tif,la_palma-volcano_00000600_pre_disaster.tif,la_palma-volcano_00000600_post_disaster.tif,216255.88759607376,3168107.266554355,[0 1 2 3],1015006,33570,15689,3543,14338,0.9679851531982422,0.03201484680175781,0.014962196350097656,0.0033788681030273438,0.013673782348632812,0.46735180220434913,0.10554066130473637,0.4271075364909145,la_palma,volcano
turkey-earthquake_00000570_building_damage.tif,turkey-earthquake_00000570_pre_disaster.tif,turkey-earthquake_00000570_post_disaster.tif,438381.1498945218,4245040.588400256,[0 1 2 3],712862,335714,253185,69451,13078,0.6798381805419922,0.3201618194580078,0.2414560317993164,0.06623363494873047,0.012472152709960938,0.754168726952108,0.2068754952131874,0.03895577783470454,turkey,earthquake
turkey-earthquake_00000132_building_damage.tif,turkey-earthquake_00000132_pre_disaster.tif,turkey-earthquake_00000132_post_disaster.tif,354783.6,4105126.55,[0 1],335422,713154,713154,0,0,0.3198833465576172,0.6801166534423828,0.6801166534423828,0.0,0.0,1.0,0.0,0.0,turkey,earthquake
beirut-explosion_00000042_building_damage.tif,beirut-explosion_00000042_pre_disaster.tif,beirut-explosion_00000042_post_disaster.tif,730656.0,3753072.0,[0 1],578035,470541,470541,0,0,0.5512571334838867,0.4487428665161133,0.4487428665161133,0.0,0.0,1.0,0.0,0.0,beirut,explosion
la_palma-volcano_00000016_building_damage.tif,la_palma-volcano_00000016_pre_disaster.tif,la_palma-volcano_00000016_post_disaster.tif,216563.0843897752,3173329.7193472674,[0 1],883098,165478,165478,0,0,0.8421878814697266,0.15781211853027344,0.15781211853027344,0.0,0.0,1.0,0.0,0.0,la_palma,volcano
la_palma-volcano_00000438_building_damage.tif,la_palma-volcano_00000438_pre_disaster.tif,la_palma-volcano_00000438_post_disaster.tif,219942.24912049106,3169950.4851871477,[0],1048576,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,la_palma,volcano
congo-volcano_00000095_building_damage.tif,congo-volcano_00000095_pre_disaster.tif,congo-volcano_00000095_post_disaster.tif,29.245972467634765,-1.6419338422454728,[0 1],922217,126359,126359,0,0,0.8794946670532227,0.12050533294677734,0.12050533294677734,0.0,0.0,1.0,0.0,0.0,congo,volcano
beirut-explosion_00000084_building_damage.tif,beirut-explosion_00000084_pre_disaster.tif,beirut-explosion_00000084_post_disaster.tif,730656.0,3751536.0,[0 1],527041,521535,521535,0,0,0.5026254653930664,0.4973745346069336,0.4973745346069336,0.0,0.0,1.0,0.0,0.0,beirut,explosion
turkey-earthquake_00000417_building_damage.tif,turkey-earthquake_00000417_pre_disaster.tif,turkey-earthquake_00000417_post_disaster.tif,316122.91351385013,4161387.443793067,[0 1 2 3],386204,662372,641069,20898,405,0.3683128356933594,0.6316871643066406,0.6113710403442383,0.019929885864257812,0.00038623809814453125,0.9678383144215034,0.03155024668917164,0.0006114388893250319,turkey,earthquake
